№	Название	Копий	Вид низа	Основной эффект (низ)	Утиль (верх)	Описание
b01	Ускоренный марш	1	постоянный	+1 к скорости твоей пехоте и технике, стоящим на одном гексе вместе	Движение: два жетона, и оба бесплатно	Утиль даёт Движение двумя жетонами, и платить за ход не надо ни за один. Пока карта установлена, пехота и техника получают +1 к скорости, если стоят на одном гексе вместе. Колонна идёт быстрее одиночки — но и бьют по колонне всей целью сразу.
b02	Форсаж	1	постоянный	+1 к скорости твоей вышке, если на её гексе стоит твоя авиация	по 1 боеприпасу за каждое своё войско на поле, не больше 4	Утиль приносит по боеприпасу за каждое своё войско на поле, но не больше четырёх. Пока карта установлена, вышка получает +1 к скорости, если на её гексе стоит ваша авиация. Вышка не двигается вовсе — эта карта единственный способ её перевезти, и платить за него приходится самым редким родом войск.
b03	Облегчённая броня	1	постоянный	твоя техника: +1 скорости, −1 прочности	обменяй 1 любой ресурс на любой другой	Утиль обменивает один любой ресурс на любой другой по твоему выбору. Пока карта установлена, вся ваша техника становится на 1 быстрее, но теряет 1 прочности. Технология для тех, кто ставит на скорость, а не на броню.
b17	Тяжёлое крыло	1	постоянный	твоя авиация: −1 скорости, +1 прочности	ЩИТ: техника и авиация	Утиль накрывает щитом технику и авиацию сразу. Пока карта установлена, вся ваша авиация теряет 1 скорости и получает 1 прочности. Зеркало «Облегчённой брони»: авиация перестаёт быть налётчиком и становится тем, кто держит воздушную ячейку чужого гекса.
b18	Укреплённые перекрытия	1	постоянный	твои здания с прочностью 1 имеют прочность 2	перестрой 1 своё здание бесплатно	Утиль переносит одно твоё здание на новое место даром. Пока карта установлена, все ваши здания с прочностью 1 держат два попадания вместо одного. Бьёт по самому тонкому месту застройки: добытчики и энергостанции нечётных номеров иначе сносятся одним ударом, и выносить экономику к фронту невыгодно.
b04	Патронный ящик	1	СПЕЦ	+1 ячейка боеприпаса; СПЕЦ: за 1 монету — сборка боеприпасов любым своим запитанным военным зданием	3 боеприпаса	Утиль сразу приносит 3 боеприпаса. Пока карта установлена, у вас на 1 ячейку боеприпаса больше, а спец-действием за 1 монету можно собрать боеприпасы любым своим запитанным военным зданием. На открытой карте нарисована ячейка под контейнер, так что она работает и на запас.
b05	Келемиевый бак	1	СПЕЦ	+1 ячейка келемия; СПЕЦ: за 1 монету — добыча одним своим запитанным добытчиком	Добыча: работает и незапитанный добытчик	Утиль даёт Добычу, в которой работает и добытчик без энергии. Пока карта установлена, у вас на 1 ячейку келемия больше, а спец-действием за 1 монету можно провести добычу одним своим запитанным добытчиком. На открытой карте нарисована ячейка под контейнер — карта служит и хранилищем.
b06	Мобилизация	1	СПЕЦ	СПЕЦ: 1 боеприпас — найм любым своим запитанным зданием	построй одно здание бесплатно	Утиль ставит одно любое здание, не платя за него ничего. Пока карта установлена, спец-действием за 1 боеприпас можно нанять войско любым своим запитанным зданием. Один жетон в нужный момент, не дожидаясь приказа Разработка.
b07	Диспетчер энергии	1	СПЕЦ	СПЕЦ: перемести 1 свой кубик энергии на любое своё здание	улучши 1 жетон модуля за 1 келемий	Утиль золотит один разложенный жетон модуля за келемий. Пока карта установлена, спец-действием можно переместить 1 свой кубик энергии на любое своё здание. Удобно перебрасывать питание туда, где оно нужнее.
b19	Трофейный сейф	1	постоянный	+2 ячейки хранилища ТОЛЬКО под обломки	обменяй 1 обломок на 2 монеты или 2 обломка на 5	Утиль обменивает обломки на монеты по лестнице: один на две, два разом на пять. Пока карта установлена, у вас две лишние ячейки хранилища, и в них ложатся только обломки. Позволяет докопить на дорогой шаг науки, не теряя накопленное к концу раунда.
b20	Аварийное питание	1	постоянный	можешь закрывать недостающие ячейки ЭНР монетами — 1 монета за ячейку, на одно действие	5 монет	Утиль сразу приносит 5 монет. Пока карта установлена, нехватку энергии на здании можно закрыть монетами: по монете за каждую пустую ячейку, только на одно действие. Общего такого правила в игре нет — эта карта единственный его источник, и потому стоит ровно столько, сколько стоит весь дефицит энергии.
b21	Маркшейдер	1	СПЕЦ	СПЕЦ: бесплатно разверни один свой добытчик на другую ячейку его гекса	забери до 2 келемия у одного противника	Утиль забирает до двух келемия у одного выбранного противника. Пока карта установлена, спец-действием добытчик разворачивается на другую свободную ячейку своего гекса — бесплатно. Добытчик тянется к тайлу зарождения примыканием широкой стенки, поэтому его разворот решает всё, а обычная Стройка двигает здания только целыми гексами и за монету.
b08	Резервный штаб	1	СПЕЦ	СПЕЦ: перенеси на эту карту 1 келемий из хранилища ЛИБО сожги лежащий на ней келемий, чтобы сыграть ещё одно основное действие своего приказа — можно повторить уже сыгранное	3 карты задания	Утиль сразу приносит три карты задания. Пока карта установлена, спец-действием можно перенести на неё келемий, а потом сжечь его — и сыграть ещё одно основное действие своего приказа, в том числе то, которое вы уже играли в этот ход. Келемий равен победному очку, поэтому лишнее действие стоит дорого и берётся только в решающий ход.
